Timestamp; Q1; Q2; Q3; Q4; Expirados
307978;10;15;20;94;35006
308289;0;0;0;0;34145
308484;30;74;94;476;34145
308996;0;74;94;476;34145
309290;0;0;0;0;33819
309511;5;10;10;70;33819
310012;0;0;10;70;33819
310303;0;0;0;0;32914
310527;6;10;10;40;32914
311025;4;14;25;122;31980
311310;4;14;25;122;31980
311530;10;34;39;229;31980
312031;13;30;36;250;31292
312326;13;30;36;250;31292
312549;20;50;57;388;31292
313056;5;18;16;82;30807
313337;5;18;16;82;30807
313565;5;18;16;82;30807
314070;9;11;23;82;29928
314351;9;11;23;82;29928
314575;19;29;47;209;29928
315081;0;0;0;0;29232
315364;0;0;0;0;29232
315592;5;20;27;159;29232
316102;12;9;30;100;28443
316371;12;9;30;100;28443
316614;18;26;60;220;28443
317120;0;0;0;0;27767
317371;0;0;0;0;27767
317628;6;15;18;107;27767
318138;4;8;9;98;26913
